,status,TotalExecutionTime,nbResult,planningTime,executionTime,query,workload,approach,run
0,ok,8.013,63,6.675,1.338,q07g,rdfs,FedUp-FedX,1
0,ok,4.835999999999999,36,3.897,0.939,q07h,rdfs,FedUp-FedX,1
0,ok,7.287,56,6.167,1.12,q07i,rdfs,FedUp-FedX,1
0,ok,8.774000000000001,110,6.429,2.345,q07j,rdfs,FedUp-FedX,1
0,ok,0.978,1,0.649,0.306,q01a,rdfs,FedUp-HefQuin,1
0,ok,5.68,9,4.891,0.764,q01b,rdfs,FedUp-HefQuin,1
0,ok,5.174,1,4.203,0.946,q01c,rdfs,FedUp-HefQuin,1
0,ok,4.7,8,4.189,0.484,q01d,rdfs,FedUp-HefQuin,1
0,ok,4.76,5,4.265,0.464,q01e,rdfs,FedUp-HefQuin,1
0,ok,3.501,3,3.302,0.169,q01f,rdfs,FedUp-HefQuin,1
0,ok,3.261,6,2.915,0.315,q01g,rdfs,FedUp-HefQuin,1
0,ok,4.993,5,4.294,0.668,q01h,rdfs,FedUp-HefQuin,1
0,ok,5.347,1,4.57,0.735,q01i,rdfs,FedUp-HefQuin,1
0,ok,4.584,7,4.032,0.509,q01j,rdfs,FedUp-HefQuin,1
0,ok,177.69,0,,,q05b,rdfs,FedUp-HefQuin,1
0,ok,176.184,0,,,q05d,rdfs,FedUp-HefQuin,1
0,ok,112.424,0,,,q05j,rdfs,FedUp-HefQuin,1
0,ok,7.62,65,6.131,1.414,q07a,rdfs,FedUp-HefQuin,1
0,ok,3.685,25,2.813,0.831,q07b,rdfs,FedUp-HefQuin,1
0,ok,8.768,54,7.373,1.333,q07c,rdfs,FedUp-HefQuin,1
0,ok,12.294,66,10.65,1.575,q07d,rdfs,FedUp-HefQuin,1
0,ok,3.38,9,2.732,0.566,q07e,rdfs,FedUp-HefQuin,1
0,ok,5.245,37,4.374,0.816,q07f,rdfs,FedUp-HefQuin,1
0,ok,7.911,63,6.379,1.473,q07g,rdfs,FedUp-HefQuin,1
0,ok,4.175,36,3.341,0.777,q07h,rdfs,FedUp-HefQuin,1
0,ok,7.181,2688,5.581,1.315,q07i,rdfs,FedUp-HefQuin,1
0,ok,8.241,1,6.338,1.779,q07j,rdfs,FedUp-HefQuin,1
