,status,TotalExecutionTime,nbResult,planningTime,executionTime,query,workload,approach,run
0,ok,0.938,1,,,q10i,rdfs,Jena,1
0,ok,0.854,1,,,q10j,rdfs,Jena,1
0,ok,0.725,9,,,q11a,rdfs,Jena,1
0,ok,0.919,9,,,q11b,rdfs,Jena,1
0,ok,0.74,9,,,q11c,rdfs,Jena,1
0,ok,0.975,9,,,q11d,rdfs,Jena,1
0,ok,1.024,9,,,q11e,rdfs,Jena,1
0,ok,0.932,9,,,q11f,rdfs,Jena,1
0,ok,0.822,9,,,q11g,rdfs,Jena,1
0,ok,0.739,9,,,q11h,rdfs,Jena,1
0,ok,0.985,9,,,q11i,rdfs,Jena,1
0,ok,0.782,9,,,q11j,rdfs,Jena,1
0,ok,0.836,1,,,q12a,rdfs,Jena,1
0,ok,0.82,1,,,q12b,rdfs,Jena,1
0,ok,0.582,1,,,q12c,rdfs,Jena,1
0,ok,0.593,1,,,q12d,rdfs,Jena,1
0,ok,0.864,1,,,q12e,rdfs,Jena,1
0,ok,0.718,1,,,q12f,rdfs,Jena,1
0,ok,0.666,1,,,q12g,rdfs,Jena,1
0,ok,0.974,1,,,q12h,rdfs,Jena,1
0,ok,0.875,1,,,q12i,rdfs,Jena,1
0,ok,1.124,1,,,q12j,rdfs,Jena,1
0,ok,1.091,7,,,q01a,rdfs,FedX,1
0,ok,1.471,9,,,q01b,rdfs,FedX,1
0,ok,1.169,1,,,q01c,rdfs,FedX,1
0,ok,1.275,8,,,q01d,rdfs,FedX,1
0,ok,1.06,5,,,q01e,rdfs,FedX,1
0,ok,1.16,3,,,q01f,rdfs,FedX,1
0,ok,1.238,6,,,q01g,rdfs,FedX,1
0,ok,0.988,5,,,q01h,rdfs,FedX,1
0,ok,0.993,1,,,q01i,rdfs,FedX,1
0,ok,1.223,7,,,q01j,rdfs,FedX,1
0,ok,14.309,54,,,q02a,rdfs,FedX,1
0,ok,18.553,54,,,q02b,rdfs,FedX,1
0,ok,14.221,72,,,q02c,rdfs,FedX,1
0,ok,4.929,9,,,q02d,rdfs,FedX,1
0,ok,24.862,99,,,q02e,rdfs,FedX,1
0,ok,7.313,27,,,q02f,rdfs,FedX,1
0,ok,9.522,36,,,q02g,rdfs,FedX,1
0,ok,12.458,45,,,q02h,rdfs,FedX,1
0,ok,23.013,90,,,q02i,rdfs,FedX,1
0,ok,6.34,18,,,q02j,rdfs,FedX,1
0,ok,1.321,4,,,q03a,rdfs,FedX,1
